match_id,logfile,group,seed,duration_s,left_team,right_team,left_goals,right_goals,net_score,total_falls,total_recoveries,recovery_rate,ball_x_min,ball_x_max,ball_possession_left_pct,sim_steps,abnormal_exit
0,match_20260801_135258.json,B_RL_25s,42,25,RL,Rule,0,0,0,38,33,0.868,0.00,5.71,0.0,1234,false
1,match_20260801_140834.json,B_RL_25s,42,25,RL,Rule,0,0,0,39,36,0.923,-1.29,0.00,21.4,1242,false
2,match_20260801_140942.json,B_RL_25s,42,25,RL,Rule,0,0,0,34,29,0.853,-5.10,0.00,72.5,1243,false
3,match_20260801_141048.json,B_RL_25s,42,25,RL,Rule,0,0,0,31,28,0.903,-2.86,0.00,50.2,1242,false
4,match_20260801_141154.json,B_RL_25s,42,25,RL,Rule,0,0,0,32,29,0.906,0.00,3.60,88.3,1243,false
5,match_20260801_141302.json,B_RL_25s,42,25,RL,Rule,0,0,0,32,28,0.875,0.00,4.76,93.9,1243,false
6,match_20260801_145415.json,B_RL_kick_25s,43,25,RL+kick,Rule,0,0,0,36,31,0.861,0.00,1.28,73.8,1242,false
7,match_20260801_145520.json,B_RL_kick_25s,44,25,RL+kick,Rule,0,0,0,41,35,0.854,-4.55,0.00,88.7,1243,false
8,match_20260801_145627.json,B_RL_kick_25s,45,25,RL+kick,Rule,0,0,0,46,41,0.891,-4.92,0.00,2.8,1239,false
9,match_20260801_145734.json,B_RL_kick_25s,46,25,RL+kick,Rule,0,0,0,49,44,0.898,-1.94,0.00,58.5,1239,false
10,match_20260801_145841.json,B_RL_kick_25s,47,25,RL+kick,Rule,0,0,0,38,35,0.921,-6.45,0.00,0.0,1242,false
11,match_20260801_145948.json,B_RL_kick_25s,48,25,RL+kick,Rule,0,0,0,37,33,0.892,0.00,0.71,4.8,1242,false
12,match_20260801_150054.json,B_RL_kick_25s,49,25,RL+kick,Rule,0,0,0,36,33,0.917,-1.02,0.00,44.0,1243,false
13,match_20260801_150200.json,B_RL_kick_25s,50,25,RL+kick,Rule,0,0,0,32,28,0.875,-0.98,0.00,94.0,1243,false
14,match_20260801_150307.json,B_RL_kick_25s,51,25,RL+kick,Rule,0,0,0,36,31,0.861,0.00,4.72,88.0,1243,false
15,match_20260801_150414.json,B_RL_kick_25s,52,25,RL+kick,Rule,0,0,0,36,32,0.889,-4.28,0.00,86.2,1243,false
16,match_20260801_144752.json,D_disturb_25s,43,25,RL+disturb,Rule,0,0,0,43,38,0.884,-1.85,-0.54,19.6,1240,false
17,match_20260801_144859.json,D_disturb_25s,44,25,RL+disturb,Rule,0,0,0,34,29,0.853,-0.37,1.59,6.1,1242,false
18,match_20260801_145005.json,D_disturb_25s,45,25,RL+disturb,Rule,0,0,0,35,30,0.857,-0.91,4.06,50.0,1243,false
19,match_20260801_145112.json,D_disturb_25s,46,25,RL+disturb,Rule,0,0,0,37,32,0.865,-5.54,1.55,41.1,1242,false
20,match_20260801_145218.json,D_disturb_25s,47,25,RL+disturb,Rule,0,0,0,47,43,0.915,-0.59,3.87,5.5,1243,false
21,match_20260801_151931.json,E_RL_kick_60s,42,60,RL+kick,Rule,1,0,1,89,87,0.978,0.00,21.56,25.2,2981,false
22,match_20260801_152111.json,E_RL_kick_60s,42,60,RL+kick,Rule,0,0,0,87,83,0.954,-4.87,0.00,0.0,2929,false
23,match_20260801_152250.json,E_RL_kick_60s,42,60,RL+kick,Rule,0,0,0,76,71,0.934,-6.20,3.36,0.0,2981,false
24,match_20260801_152355.json,A_rule_6w_25s,42,25,Rule,Rule,0,0,0,35,30,0.857,0.00,0.44,0.0,1243,false
25,match_20260801_152500.json,A_rule_6w_25s,42,25,Rule,Rule,0,0,0,28,23,0.821,-5.87,0.00,0.0,1242,false
26,match_20260801_152604.json,A_rule_6w_25s,42,25,Rule,Rule,0,0,0,33,27,0.818,-0.41,0.00,87.9,1243,false
27,match_20260801_152709.json,A_rule_6w_25s,42,25,Rule,Rule,0,0,0,33,28,0.848,0.00,5.50,0.0,1242,false
28,match_20260801_152814.json,A_rule_6w_25s,42,25,Rule,Rule,0,0,0,20,16,0.800,0.00,4.57,0.0,1240,false
