iteration,configured_iterations,total_steps,steps_per_second,mean_reward,mean_dist_to_ball,goal_per_1k_steps,mean_episode_goals_total,iteration_time_seconds,elapsed_seconds
0,500,49152,2229.0,-24.44,3.2844,0.0,0.0,22.05,22
1,500,98304,4485.0,-25.52,3.2836,0.0,0.0,10.96,33
2,500,147456,4518.0,-25.15,3.3153,0.0,0.0,10.88,43
3,500,196608,4486.0,-22.25,3.363,0.0,0.0,10.96,54
4,500,245760,4513.0,-27.16,3.3728,0.0203,0.4583,10.89,65
5,500,294912,4512.0,-23.74,3.3623,0.0,1.0,10.89,76
6,500,344064,4533.0,-22.26,3.3959,0.0203,1.0,10.84,87
7,500,393216,4542.0,-24.97,3.4003,0.0,1.0,10.82,98
8,500,442368,4525.0,-23.36,3.4159,0.0549,1.2917,10.86,109
9,500,491520,4550.0,-20.7,3.4336,0.0061,2.0,10.8,119
10,500,540672,4565.0,-18.49,3.4278,0.0,2.0,10.77,130
11,500,589824,4550.0,-21.01,3.4228,0.0203,2.7917,10.8,141
12,500,638976,4543.0,-21.81,3.3686,0.0203,3.0,10.82,152
13,500,688128,4569.0,-16.39,3.379,0.0,3.0,10.76,163
14,500,737280,4559.0,-20.57,3.3651,0.0,3.0,10.78,173
15,500,786432,4568.0,-19.41,3.349,0.0,3.0,10.76,184
16,500,835584,4552.0,-16.88,3.2984,0.0,3.0,10.8,195
17,500,884736,4579.0,-15.79,3.2582,0.0203,3.0,10.73,206
18,500,933888,4568.0,-17.53,3.2184,0.0203,3.7083,10.76,216
19,500,983040,4579.0,-15.67,3.2105,0.0,4.0,10.73,227
20,500,1032192,4547.0,-13.33,3.1841,0.0407,4.625,10.81,238
21,500,1081344,4526.0,-17.45,3.2147,0.0387,5.0,10.86,249
22,500,1130496,4551.0,-12.49,3.2357,0.0692,5.0,10.8,260
23,500,1179648,4595.0,-14.82,3.2598,0.0346,5.0,10.7,270
24,500,1228800,4579.0,-14.42,3.2685,0.0631,5.4583,10.73,281
25,500,1277952,4559.0,-10.36,3.2767,0.0692,6.0,10.78,292
26,500,1327104,4580.0,-13.13,3.2827,0.0509,6.0,10.73,303
27,500,1376256,4589.0,-9.28,3.2157,0.0203,6.0,10.71,313
28,500,1425408,4576.0,-9.16,3.1967,0.0,6.0,10.74,324
29,500,1474560,4573.0,-8.71,3.1654,0.0407,6.0,10.75,335
30,500,1523712,4595.0,-9.76,3.0982,0.0305,6.0,10.7,345
31,500,1572864,4596.0,-6.45,3.071,0.0854,6.7917,10.69,356
32,500,1622016,4574.0,-3.51,3.0712,0.1261,7.5417,10.74,367
33,500,1671168,4611.0,4.06,3.0175,0.1729,8.7083,10.66,378
34,500,1720320,4566.0,5.74,2.9385,0.0488,9.125,10.76,388
35,500,1769472,4591.0,0.34,2.9446,0.238,12.2083,10.71,399
36,500,1818624,4576.0,8.76,2.9611,0.2808,14.125,10.74,410
37,500,1867776,4596.0,10.68,3.0245,0.3886,21.4583,10.69,420
38,500,1916928,4596.0,8.11,3.1133,0.2726,24.0,10.69,431
39,500,1966080,4618.0,15.44,3.1241,0.3479,28.75,10.64,442
40,500,2015232,4615.0,23.01,3.1883,0.5208,36.4583,10.65,452
41,500,2064384,4608.0,23.65,3.2705,0.5697,40.7083,10.67,463
42,500,2113536,4609.0,22.24,3.2719,0.4272,44.3333,10.66,474
43,500,2162688,4584.0,24.25,3.2092,0.4211,49.4167,10.72,484
44,500,2211840,4599.0,32.51,3.1327,0.5493,55.9583,10.69,495
45,500,2260992,4595.0,28.71,3.0759,0.5351,62.9167,10.7,506
46,500,2310144,4600.0,32.2,3.0385,0.5351,69.125,10.68,517
47,500,2359296,4593.0,32.24,3.0562,0.4639,77.9167,10.7,527
48,500,2408448,4591.0,34.96,3.0063,0.6999,86.875,10.71,538
49,500,2457600,4609.0,37.51,2.9195,0.5554,97.375,10.66,549
50,500,2506752,4590.0,33.39,2.9275,0.8179,106.4167,10.71,559
51,500,2555904,4578.0,38.62,2.9194,0.8016,118.0417,10.74,570
52,500,2605056,4582.0,39.34,2.9377,0.8728,129.0417,10.73,581
53,500,2654208,4592.0,36.86,3.0177,0.6531,139.75,10.7,591
54,500,2703360,4588.0,39.86,3.0823,0.6632,153.7917,10.71,602
55,500,2752512,4593.0,38.9,3.2046,0.6714,164.1667,10.7,613
56,500,2801664,4582.0,42.88,3.2314,0.6531,177.0417,10.73,624
57,500,2850816,4556.0,37.3,3.2472,0.8423,188.5833,10.79,634
58,500,2899968,4561.0,40.5,3.2416,1.064,198.75,10.78,645
59,500,2949120,4545.0,41.06,3.1263,0.8891,210.9583,10.81,656
60,500,2998272,4422.0,38.28,2.9735,1.0071,222.5833,11.11,667
61,500,3047424,4398.0,41.17,2.8779,0.7528,231.4583,11.17,678
62,500,3096576,4370.0,47.52,2.8907,0.7609,241.25,11.25,690
63,500,3145728,4338.0,49.58,2.9484,0.8158,248.5833,11.33,701
64,500,3194880,4332.0,48.95,2.974,1.2207,266.0833,11.34,712
65,500,3244032,4321.0,47.45,2.9312,0.9155,280.75,11.37,724
66,500,3293184,4347.0,47.79,2.8232,0.9725,290.8333,11.3,735
67,500,3342336,4343.0,48.58,2.7592,1.0498,304.75,11.32,746
