match_id,logfile,group,duration_s,left_team,right_team,left_goals,right_goals,total_falls,total_recoveries,recovery_rate,ball_x_max,ball_possession_left_pct,sim_steps,abnormal_exit,seed,n_steps_fixed
0,match_20260801_162644.json,B_clean_25s,25,RL+kick,Rule,0,0,19,14,0.737,3.54,91.2,1238,false,101,yes
1,match_20260801_162658.json,B_clean_25s,25,RL+kick,Rule,0,0,31,27,0.871,3.75,85.6,1219,false,102,yes
2,match_20260801_162807.json,B_clean_25s,25,RL+kick,Rule,0,0,32,26,0.813,3.37,7.1,1235,false,103,yes
3,match_20260801_162822.json,B_clean_25s,25,RL+kick,Rule,0,0,38,34,0.895,1.02,86.3,1216,false,104,yes
4,match_20260801_162928.json,B_clean_25s,25,RL+kick,Rule,0,0,27,22,0.815,4.45,79.3,1185,false,105,yes
5,match_20260801_162951.json,B_clean_25s,25,RL+kick,Rule,0,0,28,24,0.857,2.51,7.8,966,false,106,yes
6,match_20260801_163046.json,B_clean_25s,25,RL+kick,Rule,0,0,31,26,0.839,0.7,0.0,1157,false,107,yes
7,match_20260801_163140.json,E_clean_60s,60,RL+kick,Rule,0,0,68,63,0.926,2.8,0.0,2634,false,201,yes
8,match_20260801_163154.json,E_clean_60s,60,RL+kick,Rule,0,0,34,31,0.912,0.0,0.0,1223,false,202,yes
9,match_20260801_163338.json,E_clean_60s,60,RL+kick,Rule,0,0,62,58,0.935,2.8,0.0,2976,false,203,yes
10,match_20260801_163353.json,E_clean_60s,60,RL+kick,Rule,0,0,60,55,0.917,3.5,0.0,2960,false,204,yes
11,match_20260801_163532.json,E_clean_60s,60,RL+kick,Rule,0,1,64,59,0.922,0.0,0.0,2950,false,205,yes
12,match_20260801_163552.json,E_clean_60s,60,RL+kick,Rule,0,0,64,60,0.938,5.9,0.0,2829,false,206,yes
13,match_20260801_163653.json,A_clean_25s,25,Rule,Rule,0,0,29,23,0.793,5.5,0.0,1228,false,301,yes
14,match_20260801_163747.json,E_clean_60s,60,RL+kick,Rule,0,0,70,66,0.943,0.0,0.0,2663,false,207,yes
15,match_20260801_163800.json,A_clean_25s,25,Rule,Rule,0,0,34,28,0.824,0.0,0.0,1223,false,302,yes
16,match_20260801_163905.json,A_clean_25s,25,Rule,Rule,0,0,31,27,0.871,0.0,0.0,1242,false,303,yes
17,match_20260801_163921.json,A_clean_25s,25,Rule,Rule,0,0,32,29,0.906,0.0,0.0,1213,false,304,yes
