match_id,left_method,right_method,left_score,right_score,left_falls,right_falls,left_recoveries,right_recoveries,left_shots,right_shots,left_shots_on_target,right_shots_on_target,ball_out_count,total_steps,winner,seed
0,rule,rule,3,0,1,3,1,0,3,3,1,1,0,1000,left,42
1,rule,rule,0,1,3,1,3,0,4,7,2,1,0,1000,right,43
2,rule,rule,1,2,4,3,4,1,3,4,0,0,0,1000,right,44
3,rule,rule,2,0,2,1,2,1,5,3,2,0,0,1000,left,45
4,rule,rule,2,2,0,4,0,3,3,1,1,0,0,1000,draw,46
5,rule,rule,0,3,4,1,0,0,4,4,2,2,0,1000,right,47
6,rule,rule,0,2,5,1,4,0,2,1,0,0,0,1000,right,48
7,rule,rule,1,4,5,4,2,4,3,10,1,3,0,1000,right,49
8,rule,rule,1,1,5,2,5,1,4,1,3,1,0,1000,draw,50
9,rule,rule,1,1,2,3,0,1,2,2,1,1,0,1000,draw,51
10,rule,rule,1,0,2,3,2,3,3,6,1,3,0,1000,left,52
11,rule,rule,2,1,4,1,0,0,4,5,0,1,0,1000,left,53
12,rule,rule,1,0,1,4,0,1,7,2,2,0,0,1000,left,54
13,rule,rule,0,2,3,2,1,2,4,9,0,2,0,1000,right,55
14,rule,rule,2,0,3,3,1,3,4,1,1,1,0,1000,left,56
15,rule,rule,0,1,5,1,3,0,3,3,1,0,0,1000,right,57
16,rule,rule,1,1,3,4,2,2,4,1,2,0,0,1000,draw,58
17,rule,rule,1,1,2,4,1,1,2,3,1,0,0,1000,draw,59
18,rule,rule,1,1,3,1,3,0,4,3,3,1,0,1000,draw,60
19,rule,rule,1,3,4,6,0,2,4,4,2,1,0,1000,right,61
